feature;cluster;corr;abs_corr
Q4- (13 to 17 years old) In each of the following age groups, how many children live totally or partially with you?;32;-0.005;0.005
('Q61- Do you smoke cannabis, hashish, marijuana?_Less than once a month',);32;-0.005;0.005
('Q2- How old are you?_40 - 44',);32;0.002;0.002
('Q12- Do you work most often?_At customers',);32;-0.002;0.002
('Q61- Do you smoke cannabis, hashish, marijuana?_Once a month',);32;-0.0;0.0
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_nan',);32;;
"(""Would you say that over the last 12 months, your company's activity has:_Slow down"",)";33;-0.007;0.007
('Would you say that over the last 12 months, your pace of work has:_Slow motion',);33;-0.0;0.0
('Q5- Apart from your children, do you have a dependent or sick family member(s) whom you take care of regularly?_Yes, who lives elsewhere',);34;0.027;0.027
('Q2- How old are you?_50 - 55',);34;0.022;0.022
('Q58- For each of these drinks, indicate whether you consume them:-Every day_None',);34;-0.019;0.019
Q4- (18 years and over) In each of the following age groups, how many children live totally or partially with you?;34;0.011;0.011
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_Sodas',);34;0.008;0.008
('Q2- How old are you?_56 - 70',);34;0.002;0.002
('In which sector of activity do you work?_Transport, energy, telecommunications',);35;-0.012;0.012
('Q12- Do you work most often?_In a vehicle',);35;0.009;0.009
('Q1- Your sex?_A man',);36;-0.064;0.064
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I adhere to the directions chosen by my company',);36;0.036;0.036
('What is the size of your business (in total, all locations combined)? 2009 fake_250 to 999 employees',);36;0.026;0.026
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I benefit from support in implementation (training, communication, etc.)',);36;0.022;0.022
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_They come back too often',);36;0.013;0.013
('Q57- How do you most frequently eat your midday meal?_In the canteen or company restaurant',);36;-0.01;0.01
('Q12- Do you work most often?_In an open space, a tray',);36;0.001;0.001
('Q9- Are you working?_Full time',);36;0.0;0.0
('Q10- Do you have shift work (work organized in successive teams, which take turns at the same workstations) with alternating hours?_Yes',);37;0.074;0.074
('What is the size of your business (in total, all locations combined)? 2009 fake_50 to 249 employees',);37;0.052;0.052
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Occasionally',);37;0.017;0.017
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Occasionally',);37;0.01;0.01
('Q13- Is the performance of your work taxing on you?-To work in noise_Occasionally',);37;-0.008;0.008
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Occasionally',);37;-0.006;0.006
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Rather',);37;0.006;0.006
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Occasionally',);37;0.003;0.003
('Q13- Is the performance of your work taxing on you?-To work on screen_Occasionally',);37;0.001;0.001
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I make sure to adapt',);38;0.059;0.059
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I am involved upstream, we integrate my point of view',);38;0.057;0.057
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_I benefit from support in implementation (training, communication, etc.)',);38;0.031;0.031
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_They come back too often',);38;0.006;0.006
"(""Would you say that over the last 12 months, your company's activity has:_Accelerated"",)";39;-0.025;0.025
('Would you say that over the last 12 months, your pace of work has:_Accelerated',);39;-0.007;0.007
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_Yes, rather',);40;0.036;0.036
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_Unsatisfactory',);40;0.032;0.032
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_Unsatisfactory',);40;0.029;0.029
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Often',);41;0.049;0.049
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Often',);41;0.034;0.034
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Often',);41;0.017;0.017
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Rather',);42;0.077;0.077
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Rather not',);42;-0.021;0.021
('Q34- In your personal life, would you say:-I feel well surrounded_Rather not',);42;0.019;0.019
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Rather',);42;0.018;0.018
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Not very confident',);43;0.025;0.025
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Not very confident',);43;0.021;0.021
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Not very confident',);43;-0.017;0.017
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Not very confident',);43;0.004;0.004
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Not very confident',);43;-0.003;0.003
('Q37- How do you rate your state of health in general?_AVERAGE',);44;0.164;0.164
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_often',);44;0.139;0.139
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_often',);44;0.114;0.114
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Often',);44;0.112;0.112
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Often',);44;0.109;0.109
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Often',);44;0.106;0.106
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Often',);44;0.103;0.103
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Often',);44;0.088;0.088
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Not very confident',);44;0.084;0.084
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Often',);44;0.029;0.029
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Very Often',);45;0.122;0.122
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Very Often',);45;0.084;0.084
('In which sector of activity do you work?_Wholesale trade (all businesses in 206)',);45;0.027;0.027
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Completetly',);46;0.107;0.107
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Completetly',);46;0.079;0.079
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Very Often',);46;0.051;0.051
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_Yes quite',);46;0.05;0.05
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Completetly',);46;0.029;0.029
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Completetly',);46;0.019;0.019
('Q38- Did you:-A chronic illness (a long-term illness or one that recurs frequently_Yes',);47;0.218;0.218
('Q37- How do you rate your state of health in general?_Bad',);47;0.156;0.156
('Q38- Did you:-Disabilities_Yes',);47;0.154;0.154
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_At least once a week',);47;0.142;0.142
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Completetly',);47;0.118;0.118
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_permanently',);47;0.116;0.116
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_permanently',);47;0.1;0.1
('Q37- How do you rate your state of health in general?_Very bad',);47;0.062;0.062
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Completetly',);47;0.048;0.048
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Permanently',);48;0.149;0.149
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Permanently',);48;0.115;0.115
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Permanently',);48;0.105;0.105
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Permanently',);48;0.058;0.058
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Permanently',);48;0.057;0.057
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Permanently',);48;0.022;0.022
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Not confident at all',);49;0.082;0.082
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Not confident at all',);49;0.053;0.053
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Not confident at all',);49;0.039;0.039
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Not confident at all',);49;0.02;0.02
('Q34- In your personal life, would you say:-I feel well surrounded_Not at all',);49;0.018;0.018
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Not confident at all',);49;0.017;0.017
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Not confident at all',);49;0.008;0.008
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Not at all',);49;-0.0;0.0
('Q13- Is the performance of your work taxing on you?-To work in noise_Most of the time',);50;0.124;0.124
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Completetly',);50;0.117;0.117
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Most of the time',);50;0.113;0.113
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Most of the time',);50;0.101;0.101
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Most of the time',);50;0.101;0.101
('STATUS_Workers',);50;0.098;0.098
('Q12- Do you work most often?_In a workshop, a technical room',);50;0.088;0.088
('Q14- During your work, are you in a situation? (Of-working on machinery that could expose you to injury_Yes',);50;0.088;0.088
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Most of the time',);50;0.083;0.083
('Q14- During your work, are you in a situation? (Of-breathe toxic products or dust_Yes',);50;0.08;0.08
('Q14- During your work, are you in a situation? (Of-risk a serious fall_Yes',);50;0.07;0.07
('Q14- During your work, are you in a situation? (Of-handle toxic or dangerous products_Yes',);50;0.061;0.061
('In which sector of activity do you work?_Industry',);50;0.046;0.046
('Q13- Is the performance of your work taxing on you?-To work on screen_Rarely',);50;0.036;0.036
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_nan',);51;0.009;0.009
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_nan',);51;-0.009;0.009
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_nan',);51;-0.008;0.008
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_nan',);51;-0.007;0.007
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_nan',);51;-0.006;0.006
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_nan',);51;-0.005;0.005
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_nan',);51;-0.005;0.005
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_nan',);51;0.005;0.005
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_nan',);51;0.004;0.004
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_nan',);51;-0.004;0.004
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_nan',);51;0.003;0.003
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_nan',);51;0.003;0.003
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_nan',);51;-0.002;0.002
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_nan',);51;0.001;0.001
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_nan',);51;0.0;0.0
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_nan',);51;-0.0;0.0
('Q13- Is the performance of your work taxing on you?-To work on screen_nan',);52;0.02;0.02
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_nan',);52;0.015;0.015
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_nan',);52;0.014;0.014
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_nan',);52;0.012;0.012
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_nan',);52;0.011;0.011
('Q13- Is the performance of your work taxing on you?-To work in noise_nan',);52;0.006;0.006
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_nan',);53;-0.014;0.014
('Q14- During your work, are you in a situation? (Of-risk a serious fall_nan',);53;0.011;0.011
('Q14- During your work, are you in a situation? (Of-working on machinery that could expose you to injury_nan',);53;0.009;0.009
('Q14- During your work, are you in a situation? (Of-breathe toxic products or dust_nan',);53;0.007;0.007
('Q14- During your work, are you in a situation? (Of-handle toxic or dangerous products_nan',);53;0.006;0.006
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_nan',);53;-0.002;0.002
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_nan',);53;0.002;0.002
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_nan',);54;0.012;0.012
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_nan',);54;0.008;0.008
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_nan',);54;0.002;0.002
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_nan',);54;-0.002;0.002
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_nan',);54;0.001;0.001
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_nan',);55;-0.009;0.009
('Q34- In your personal life, would you say:-I feel well surrounded_nan',);55;-0.003;0.003
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_nan',);55;0.002;0.002
('Q38- Did you:-Disabilities_nan',);56;0.024;0.024
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_nan',);56;-0.012;0.012
('Q42-During the last 12 months have you had a work accident?_nan',);56;0.01;0.01
('Q38- Did you:-A chronic illness (a long-term illness or one that recurs frequently_nan',);56;0.009;0.009
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_nan',);56;-0.007;0.007
('Q37- How do you rate your state of health in general?_nan',);56;-0.006;0.006
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_nan',);56;-0.005;0.005
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_nan',);56;-0.004;0.004
('Q60- Are you a smoker?_nan',);56;-0.003;0.003
('Q25-Your workplace-home transportation time (round trip) is:_nan',);56;-0.002;0.002
('Q57- How do you most frequently eat your midday meal?_nan',);56;0.002;0.002
('Q58- For each of these drinks, indicate whether you consume them:-Every day_nan',);56;0.001;0.001
('Q61- Do you smoke cannabis, hashish, marijuana?_nan',);56;0.001;0.001
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_nan',);56;-0.0;0.0
