feature;cluster;corr;abs_corr
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_I am involved upstream, we integrate my point of view',);34;0.019;0.019
"(""Would you say that over the last 12 months, your company's activity has:_None"",)";34;0.018;0.018
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I understand they are necessary',);34;0.018;0.018
('Q25-Your workplace-home transportation time (round trip) is:_More than 3 hours per day',);34;0.018;0.018
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_I benefit from support in implementation (training, communication, etc.)',);34;-0.016;0.016
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_They come back too often',);34;0.015;0.015
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_None',);34;0.014;0.014
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_I am involved upstream, we integrate my point of view',);34;-0.014;0.014
('Q61- Do you smoke cannabis, hashish, marijuana?_Once a week',);34;0.014;0.014
('Q57- How do you most frequently eat your midday meal?_While eating a sandwich',);34;0.013;0.013
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_None',);34;-0.012;0.012
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_None',);34;0.012;0.012
('Q25-Your workplace-home transportation time (round trip) is:_From 2 hours to 3 hours per day',);34;0.011;0.011
('Q57- How do you most frequently eat your midday meal?_When going to a restaurant, brasserie, snack bar',);34;-0.011;0.011
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_None',);34;0.01;0.01
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_None"",)";34;0.01;0.01
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_None',);34;0.01;0.01
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I adhere to the directions chosen by my company',);34;0.01;0.01
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_None',);34;0.01;0.01
('Q2- How old are you?_18 - 30',);34;-0.009;0.009
('Q2- How old are you?_None',);34;0.009;0.009
('What is the size of your business (in total, all locations combined)? 2009 fake_10 to 49 employees',);34;-0.009;0.009
('In which sector of activity do you work?_Other businesses',);34;-0.008;0.008
('Q42-During the last 12 months have you had a work accident?_None',);34;-0.008;0.008
('Q14- During your work, are you in a situation? (Of-working on machinery that could expose you to injury_None',);34;0.007;0.007
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_None',);34;0.007;0.007
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_None',);34;0.007;0.007
('Q38- Did you:-A chronic illness (a long-term illness or one that recurs frequently_None',);34;-0.007;0.007
('Q16- And for each of these sentences?-I am proud to work in my company_None',);34;0.006;0.006
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_None',);34;0.006;0.006
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_None',);34;0.006;0.006
('Q5- Apart from your children, do you have a dependent or sick family member(s) whom you take care of regularly?_None',);34;0.005;0.005
('Q10- Do you have shift work (work organized in successive teams, which take turns at the same workstations) with alternating hours?_None',);34;0.005;0.005
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_None',);34;-0.005;0.005
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_None',);34;0.005;0.005
('Q2- How old are you?_40 - 44',);34;0.004;0.004
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_None',);34;-0.004;0.004
('Q16- And for each of these sentences?-I would recommend my company to a friend_None',);34;0.004;0.004
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_nan',);34;-0.004;0.004
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_None',);34;-0.003;0.003
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_None',);34;-0.003;0.003
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_None',);34;0.003;0.003
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_None',);34;0.003;0.003
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_I am involved upstream, we integrate my point of view',);34;0.003;0.003
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_nan',);34;-0.003;0.003
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_nan',);34;0.003;0.003
('Q60- Are you a smoker?_None',);34;0.003;0.003
('Q1- Your sex?_None',);34;0.002;0.002
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_None',);34;-0.002;0.002
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_None',);34;0.002;0.002
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_None',);34;-0.002;0.002
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_None',);34;0.002;0.002
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_None',);34;-0.002;0.002
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_I benefit from support in implementation (training, communication, etc.)',);34;0.002;0.002
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_None',);34;0.002;0.002
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_None',);34;0.002;0.002
('Q61- Do you smoke cannabis, hashish, marijuana?_Less than once a month',);34;0.002;0.002
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_None',);34;0.001;0.001
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_None',);34;0.001;0.001
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_None',);34;0.001;0.001
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_None',);34;0.001;0.001
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_None',);34;0.001;0.001
('In which sector of activity do you work?_Construction',);34;-0.0;0.0
('Q13- Is the performance of your work taxing on you?-To work on screen_None',);34;0.0;0.0
('Would you say that over the last 12 months, your pace of work has:_None',);34;-0.0;0.0
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_nan',);34;-0.0;0.0
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_None',);34;-0.0;0.0
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_TOTAL NO',);34;0.0;0.0
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_I adhere to the directions chosen by my company',);35;0.032;0.032
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_I make sure to adapt',);35;0.03;0.03
('In which sector of activity do you work?_Human health and social action',);35;0.029;0.029
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_I adhere to the directions chosen by my company',);35;0.028;0.028
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_They come back too often',);35;-0.015;0.015
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I make sure to adapt',);35;0.008;0.008
('Would you say that over the last 12 months, your pace of work has:_Do not know',);35;-0.005;0.005
"(""Would you say that over the last 12 months, your company's activity has:_Do not know"",)";35;0.003;0.003
('Q12- Do you work most often?_In a shared work space - co-working',);35;0.002;0.002
('Q12- Do you work most often?_At customers',);35;-0.0;0.0
('Q42-During the last 12 months have you had a work accident?_No',);36;-0.208;0.208
('Would you say that over the last 12 months, your pace of work has:_Stabilized',);36;-0.046;0.046
('STATUS_AM Technicians',);36;-0.028;0.028
"(""Would you say that over the last 12 months, your company's activity has:_Stabilized"",)";36;-0.025;0.025
('Q57- How do you most frequently eat your midday meal?_By bringing your meal from home',);36;0.019;0.019
('Q25-Your workplace-home transportation time (round trip) is:_Between 1 hour and 2 hours per day',);36;0.018;0.018
('Q12- Do you work most often?_In a shared office (3 to 5 people)',);36;-0.017;0.017
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_Energy drinks (like Red Bull or Monster)',);36;0.016;0.016
('Q58- For each of these drinks, indicate whether you consume them:-Every day_Energy drinks (like Red Bull or Monster)',);36;-0.011;0.011
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_None',);36;0.007;0.007
('Q38- Did you:-Disabilities_None',);36;0.005;0.005
('Q14- During your work, are you in a situation? (Of-breathe toxic products or dust_None',);36;0.003;0.003
('Q14- During your work, are you in a situation? (Of-risk a serious fall_None',);36;-0.002;0.002
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_None',);36;0.001;0.001
('Q57- How do you most frequently eat your midday meal?_None',);36;-0.001;0.001
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I am involved upstream, we integrate my point of view',);37;0.047;0.047
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I make sure to adapt',);37;0.036;0.036
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_I benefit from support in implementation (training, communication, etc.)',);37;0.027;0.027
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_They come back too often',);37;0.006;0.006
('In which sector of activity do you work?_Retail business',);38;-0.015;0.015
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Sometimes',);38;0.015;0.015
('Q12- Do you work most often?_In a commercial premises or agency',);38;-0.009;0.009
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Sometimes',);38;-0.007;0.007
('In which sector of activity do you work?_Transport, energy, telecommunications',);39;0.004;0.004
('Q12- Do you work most often?_In a vehicle',);39;-0.002;0.002
('Q13- Is the performance of your work taxing on you?-To work on screen_Never',);40;0.037;0.037
('Q12- Do you work most often?_Outside-outside',);40;0.028;0.028
('Q25-Your workplace-home transportation time (round trip) is:_Less than 1 hour per day',);40;-0.027;0.027
('Q57- How do you most frequently eat your midday meal?_When returning home',);40;-0.014;0.014
('Q5- Apart from your children, do you have a dependent or sick family member(s) whom you take care of regularly?_Yes, who lives elsewhere',);41;0.039;0.039
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_None',);41;0.009;0.009
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_None',);41;0.009;0.009
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_None',);41;0.008;0.008
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_None',);41;0.001;0.001
Q4- (13 to 17 years old) In each of the following age groups, how many children live totally or partially with you?;42;-0.038;0.038
Q4- (18 years and over) In each of the following age groups, how many children live totally or partially with you?;42;-0.03;0.03
('Q2- How old are you?_50 - 55',);42;0.012;0.012
('Q2- How old are you?_45 - 49',);42;-0.01;0.01
('Q13- Is the performance of your work taxing on you?-To work in noise_Rarely',);43;-0.044;0.044
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Rarely',);43;-0.038;0.038
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Rarely',);43;-0.035;0.035
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Rarely',);43;-0.023;0.023
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Rarely',);43;-0.016;0.016
('Q60- Are you a smoker?_No',);44;-0.052;0.052
('Q58- For each of these drinks, indicate whether you consume them:-Every day_None',);44;-0.029;0.029
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_None',);44;0.029;0.029
('Q61- Do you smoke cannabis, hashish, marijuana?_Never',);44;-0.011;0.011
('Q2- How old are you?_56 - 70',);44;-0.008;0.008
"(""Would you say that over the last 12 months, your company's activity has:_Accelerated"",)";45;-0.021;0.021
('Would you say that over the last 12 months, your pace of work has:_Accelerated',);45;-0.011;0.011
('What is the size of your business (in total, all locations combined)? 2009 fake_250 to 999 employees',);46;0.046;0.046
('Q12- Do you work most often?_In an open space, a tray',);46;-0.01;0.01
('Q57- How do you most frequently eat your midday meal?_In the canteen or company restaurant',);46;-0.009;0.009
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Completetly',);47;-0.059;0.059
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Completetly',);47;-0.054;0.054
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Completetly',);47;-0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Completetly',);47;-0.044;0.044
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Completetly',);47;-0.044;0.044
('Q16- And for each of these sentences?-I am proud to work in my company_Completetly',);47;-0.044;0.044
('Q16- And for each of these sentences?-I would recommend my company to a friend_Completetly',);47;-0.042;0.042
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Completetly',);47;-0.04;0.04
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Completetly',);47;-0.039;0.039
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Completetly',);47;-0.035;0.035
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Completetly',);47;-0.028;0.028
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Completetly',);47;-0.014;0.014
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Completetly',);47;0.001;0.001
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_Never',);48;-0.123;0.123
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Never',);48;-0.117;0.117
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Never',);48;-0.112;0.112
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_Never',);48;-0.11;0.11
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Never',);48;-0.106;0.106
('Q37- How do you rate your state of health in general?_Very good',);48;-0.099;0.099
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Never',);48;-0.092;0.092
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Never',);48;-0.061;0.061
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Never',);48;-0.054;0.054
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Very confident',);49;-0.039;0.039
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Very confident',);49;-0.037;0.037
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Very confident',);49;-0.034;0.034
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Very confident',);49;-0.017;0.017
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Very confident',);49;-0.014;0.014
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Very confident',);49;0.0;0.0
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Not at all',);50;-0.08;0.08
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Not at all',);50;-0.037;0.037
('Q34- In your personal life, would you say:-I feel well surrounded_Completetly',);50;-0.005;0.005
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Completetly',);50;-0.005;0.005
